Date,open,high,low,close,tick_volume
2012-12-04,81119.0,81376.0,80995.0,81314.0,79146
2012-12-05,81313.0,81471.0,81108.0,81202.0,53962
2012-12-06,81203.0,81239.0,80648.0,80763.0,80436
2012-12-07,80764.0,80799.0,80448.0,80575.0,77079
2012-12-10,80440.0,80578.0,80344.0,80485.0,71251
2012-12-11,80484.0,80768.0,80420.0,80706.0,73854
2012-12-12,80705.0,80998.0,80604.0,80978.0,77032
2012-12-13,80979.0,81194.0,80878.0,81142.0,77208
2012-12-14,81139.0,81444.0,80964.0,81356.0,77812
2012-12-17,81475.0,81483.0,81106.0,81224.0,77062
2012-12-18,81225.0,81447.0,81165.0,81378.0,74433
2012-12-19,81379.0,81677.0,81161.0,81210.0,83216
2012-12-20,81215.0,81610.0,81215.0,81364.0,80456
2012-12-21,81365.0,81542.0,81137.0,81509.0,85958
2012-12-24,81540.0,81842.0,81471.0,81738.0,52276
2012-12-26,81757.0,82085.0,81728.0,81937.0,48518
2012-12-27,81939.0,82239.0,81837.0,82173.0,78117
2012-12-28,82176.0,82248.0,81662.0,81741.0,72641
2012-12-31,81738.0,81855.0,81033.0,81244.0,60351
2013-01-01,81190.0,81287.0,81154.0,81217.0,859
2013-01-02,81217.0,81507.0,81042.0,81134.0,98721
2013-01-03,81135.0,81202.0,80846.0,81029.0,89024
2013-01-04,81030.0,81419.0,80959.0,81297.0,89482
2013-01-07,81338.0,81494.0,81043.0,81375.0,90890
2013-01-08,81375.0,81610.0,81353.0,81440.0,90134
2013-01-09,81439.0,81621.0,81327.0,81495.0,89855
2013-01-10,81496.0,82115.0,81431.0,82057.0,96693
2013-01-11,82057.0,82858.0,82029.0,82699.0,93637
2013-01-14,82852.0,83245.0,82788.0,83209.0,94213
2013-01-15,83210.0,83241.0,82654.0,82780.0,102576
2013-01-16,82781.0,83182.0,82643.0,83051.0,97238
2013-01-17,83050.0,83648.0,82976.0,83589.0,99574
2013-01-18,83590.0,83961.0,83544.0,83906.0,94455
2013-01-21,83957.0,84205.0,83767.0,84072.0,78552
2013-01-22,84074.0,84402.0,83632.0,84093.0,95620
2013-01-23,84093.0,84200.0,83785.0,84060.0,90239
2013-01-24,84062.0,84805.0,83901.0,84712.0,91844
2013-01-25,84710.0,85361.0,84613.0,85168.0,97375
2013-01-28,85307.0,85856.0,85259.0,85677.0,93369
2013-01-29,85675.0,85690.0,85272.0,85571.0,92990
2013-01-30,85570.0,86057.0,85560.0,85887.0,93529
2013-01-31,85886.0,85906.0,85524.0,85657.0,93443
2013-02-01,85654.0,87158.0,85643.0,86897.0,102228
2013-02-04,86899.0,86923.0,85667.0,85717.0,94112
2013-02-05,85718.0,86869.0,85522.0,86715.0,100587
2013-02-06,86716.0,86800.0,86149.0,86286.0,98138
2013-02-07,86285.0,86610.0,85154.0,85217.0,101692
2013-02-08,85219.0,85320.0,84458.0,84516.0,92931
2013-02-11,84663.0,85732.0,84558.0,85626.0,88917
2013-02-12,85625.0,86305.0,85397.0,85786.0,94288
2013-02-13,85785.0,86831.0,85697.0,86544.0,91570
2013-02-14,86546.0,86659.0,85845.0,86192.0,95496
2013-02-15,86192.0,86324.0,85734.0,86063.0,92435
2013-02-18,86119.0,86475.0,86025.0,86300.0,78133
