Date,open,high,low,close,tick_volume
2012-12-04,130583.99999999999,131073.0,130453.0,130935.0,55870
2012-12-05,130934.0,131253.0,130596.0,130701.0,54075
2012-12-06,130702.0,130857.0,129500.0,129570.99999999999,57791
2012-12-07,129573.0,129718.0,128769.0,129261.0,53249
2012-12-10,128992.0,129458.0,128854.99999999999,129400.0,49425
2012-12-11,129400.0,130140.00000000001,129282.99999999999,130078.0,51764
2012-12-12,130080.0,130960.00000000001,129951.0,130698.0,52652
2012-12-13,130700.0,130997.99999999999,130405.0,130745.0,51960
2012-12-14,130748.0,131727.0,130657.0,131622.0,52693
2012-12-17,131821.0,131863.0,131437.0,131593.0,47536
2012-12-18,131594.0,132376.0,131558.0,132235.0,46294
2012-12-19,132237.0,133076.0,131889.0,131986.0,56575
2012-12-20,131988.0,132942.0,131988.0,132454.0,54315
2012-12-21,132461.0,132464.0,131570.0,131867.0,61536
2012-12-24,131790.0,132326.0,131706.0,131870.0,32298
2012-12-26,131867.0,132534.0,131826.0,132203.0,27835
2012-12-27,132204.0,132833.0,132014.0,132342.0,48243
2012-12-28,132344.0,132562.0,131654.0,132146.0,45173
2012-12-31,132157.0,132338.0,131716.0,131964.0,36556
2013-01-01,132036.0,132192.0,131977.0,132053.0,1377
2013-01-02,132049.0,132992.0,131567.0,131888.0,83431
2013-01-03,131889.0,131889.0,130246.0,130366.0,50519
2013-01-04,130364.00000000001,130884.0,129975.0,130677.0,49254
2013-01-07,130779.0,131276.0,130165.0,131252.0,48815
2013-01-08,131253.0,131388.0,130569.0,130802.0,50086
2013-01-09,130804.00000000001,130953.00000000001,130364.00000000001,130540.00000000001,48758
2013-01-10,130538.0,132789.0,130383.0,132668.0,53915
2013-01-11,132669.0,133644.0,132481.0,133416.0,54809
2013-01-14,133621.0,134031.0,133357.0,133765.0,50048
2013-01-15,133762.0,133930.0,132664.0,132972.0,57596
2013-01-16,132972.0,133242.0,132564.0,132901.0,53389
2013-01-17,132905.0,133871.0,132696.0,133743.0,54847
2013-01-18,133741.0,133979.0,132798.0,133195.0,53787
2013-01-21,133107.0,133315.0,132991.0,133153.0,37620
2013-01-22,133149.0,133711.0,132667.0,133213.0,55080
2013-01-23,133210.0,133538.0,132642.0,133094.0,47766
2013-01-24,133095.0,133922.0,132859.0,133790.0,55147
2013-01-25,133790.0,134785.0,133500.0,134629.0,57450
2013-01-28,134598.0,134765.0,134244.0,134447.0,50182
