Date,open,high,low,close,tick_volume
2012-12-04,132244.0,132292.0,131538.0,131815.0,84896
2012-12-05,131816.0,132731.0,131658.0,132607.0,66085
2012-12-06,132605.0,132886.0,132035.0,132170.0,82919
2012-12-07,132174.0,132585.0,131666.0,132255.0,78776
2012-12-10,132360.0,132436.0,131657.0,132337.0,73449
2012-12-11,132355.0,133054.0,132313.0,132981.0,75329
2012-12-12,132978.0,134600.0,132878.0,134211.0,86587
2012-12-13,134210.0,135059.0,134112.0,134682.0,89388
2012-12-14,134681.0,135382.0,134286.0,135017.0,90102
2012-12-17,136149.0,136190.0,135431.0,135837.0,93171
2012-12-18,135839.0,136914.0,135803.0,136872.0,88853
2012-12-19,136873.0,137835.0,136289.0,136622.0,96403
2012-12-20,136623.0,137512.0,136202.0,137255.0,92193
2012-12-21,137256.0,137372.0,135865.0,136189.0,94471
2012-12-24,136321.0,136924.0,136221.0,136744.0,58125
2012-12-26,137519.0,138203.0,137395.0,137910.0,60849
2012-12-27,137910.0,139150.0,137887.0,138910.0,98260
2012-12-28,138896.0,139493.0,138177.0,138669.0,91692
2012-12-31,138720.0,140934.0,138657.0,140656.0,66713
2013-01-01,140917.0,141115.0,140705.0,141085.0,1182
2013-01-02,141083.0,142733.0,140533.0,141908.0,105042
2013-01-03,141907.0,141945.0,140158.0,140602.0,93447
2013-01-04,140601.0,141787.0,140450.0,141615.0,101393
2013-01-07,141998.0,142003.0,140486.0,141023.0,97247
2013-01-08,141025.0,141433.0,139372.0,139433.0,100826
2013-01-09,139429.0,141084.0,139415.0,140976.0,103221
2013-01-10,140975.0,144004.0,140831.0,143718.0,111533
2013-01-11,143720.0,144372.0,142991.0,143814.0,106364
2013-01-14,144340.0,144769.0,142829.0,143793.0,101760
2013-01-15,143791.0,144146.0,141637.0,142629.0,116234
2013-01-16,142628.0,142672.0,140492.0,141671.0,114676
2013-01-17,141670.0,144217.0,140834.0,143883.0,123237
2013-01-18,143883.0,144073.0,142500.0,142900.0,112586
2013-01-21,142906.0,143006.0,141736.0,142212.0,95478
2013-01-22,142214.0,142751.0,139781.0,140546.0,119382
2013-01-23,140545.0,140817.0,139240.0,140123.0,110858
2013-01-24,140124.0,142884.0,139841.0,142757.0,112988
2013-01-25,142755.0,144225.0,142454.0,143566.0,107038
2013-01-28,143678.0,143945.0,142137.0,142213.0,104092
2013-01-29,142208.0,143102.0,141861.0,142982.0,106580
2013-01-30,142981.0,144168.0,142864.0,143818.0,107829
2013-01-31,143810.0,145533.0,143411.0,145457.0,108412
2013-02-01,145455.0,146463.0,144883.0,145618.0,115682
2013-02-04,145763.0,146587.0,144828.0,145037.0,111176
2013-02-05,145036.0,147226.0,144905.0,146738.0,118775
2013-02-06,146737.0,147224.0,145933.0,146460.0,116773
2013-02-07,146459.0,147948.0,145975.0,147243.0,116700
2013-02-08,147245.0,147252.0,145043.0,146465.0,111328
2013-02-11,146155.0,147872.0,145946.0,147454.0,105304
2013-02-12,147455.0,147732.0,145268.0,146141.0,116191
2013-02-13,146139.0,146427.0,144704.0,144824.0,110763
2013-02-14,144825.0,145347.0,143551.0,143902.0,113326
2013-02-15,143901.0,145625.0,142750.0,144978.0,113698
2013-02-18,145339.0,145830.0,144995.0,145238.0,89649
2013-02-19,145241.0,145337.0,143853.0,144270.0,88484
2013-02-20,144271.0,144705.0,142415.0,142746.0,103298
2013-02-21,142747.0,142920.0,141319.0,141777.0,108742
2013-02-22,141775.0,143014.0,141520.0,141621.0,99807
2013-02-25,142338.0,142782.0,137877.0,139735.0,120506
2013-02-26,139737.0,140548.0,137876.0,139123.0,126242
2013-02-27,139115.0,139910.0,138137.0,139769.0,114992
2013-02-28,139767.0,140875.0,139457.0,140464.0,105369
2013-03-01,140468.0,140901.0,139103.0,140696.0,101675
2013-03-04,140609.0,141338.0,140197.0,141273.0,12823
2013-03-05,141266.0,141426.0,140565.0,141176.0,14368
2013-03-06,141171.0,141490.0,140542.0,140817.0,32177
2013-03-07,140819.0,142998.0,140589.0,142492.0,62677
2013-03-08,142494.0,144606.0,142451.0,143214.0,49053
2013-03-11,143354.0,144110.0,142812.0,144047.0,45436
2013-03-12,144047.0,144129.0,142006.0,142842.0,62076
2013-03-13,142841.0,143815.0,142638.0,143290.0,61630
2013-03-14,143289.0,145019.0,143021.0,144887.0,62583
2013-03-15,144892.0,145867.0,143799.0,143997.0,63080
2013-03-18,143377.0,144344.0,142353.0,143952.0,69866
2013-03-19,143956.0,144629.0,143159.0,143407.0,67066
2013-03-20,143403.0,145255.0,143227.0,144975.0,67801
2013-03-21,144978.0,145213.0,143445.0,144246.0,72663
2013-03-22,144248.0,144538.0,143020.0,143857.0,63218
2013-03-25,144154.0,144776.0,141887.0,142983.0,69968
2013-03-26,142988.0,143537.0,142471.0,143483.0,62686
2013-03-27,143482.0,143804.0,142043.0,142726.0,60393
2013-03-28,142727.0,143244.0,142202.0,143221.0,61836
2013-03-29,143217.0,143271.0,142580.0,143222.0,39755
2013-04-01,143222.0,143394.0,141689.0,141911.0,42844
2013-04-02,141911.0,142080.0,140952.0,141026.0,54084
2013-04-03,141024.0,141524.0,140460.0,140842.0,52119
2013-04-04,140846.0,146862.0,140380.0,146746.0,73238
2013-04-05,146747.0,150039.0,145951.0,149558.0,79612
2013-04-08,150606.0,151851.0,150276.0,151836.0,75285
2013-04-09,151841.0,152380.0,150555.0,151932.0,73686
2013-04-10,151932.0,153041.0,151380.0,152962.0,64492
2013-04-11,152962.0,153851.0,152288.0,153527.0,64826
2013-04-12,153520.0,153520.0,150540.0,150870.0,65177
2013-04-15,150821.0,151721.0,146424.0,147668.0,85335
2013-04-16,147682.0,150284.0,147570.0,150244.0,82881
2013-04-17,150208.0,151157.0,148108.0,149748.0,83454
2013-04-18,149746.0,150474.0,148730.0,150061.0,77806
2013-04-19,150060.0,152512.0,149867.0,151528.0,69335
2013-04-22,151959.0,152215.0,150898.0,151791.0,63929
2013-04-23,151791.0,152018.0,149967.0,151394.0,69950
2013-04-24,151383.0,152296.0,151092.0,151916.0,62359
2013-04-25,151916.0,153767.0,151431.0,153292.0,65343
2013-04-26,153286.0,153418.0,151115.0,151689.0,75319
2013-04-29,151649.0,152204.0,151040.0,151566.0,55258
2013-04-30,151566.0,151974.0,150746.0,151269.0,61175
2013-05-01,151270.0,152232.0,150845.0,151309.0,55069
2013-05-02,151311.0,153237.0,150944.0,152068.0,62598
2013-05-03,152072.0,154676.0,152048.0,154131.0,55713
2013-05-06,154314.0,154786.0,154149.0,154342.0,40492
2013-05-07,154342.0,154488.0,153012.0,153197.0,56746
2013-05-08,153197.0,154112.0,152732.0,153742.0,58707
2013-05-09,153739.0,155804.0,153263.0,155447.0,66582
2013-05-10,155447.0,156677.0,155323.0,156031.0,74425
2013-05-13,156275.0,156759.0,155562.0,155712.0,65779
2013-05-14,155709.0,156061.0,154969.0,155625.0,69076
2013-05-15,155628.0,156461.0,155406.0,155672.0,71938
2013-05-16,155680.0,156508.0,155359.0,156121.0,71388
2013-05-17,156131.0,156699.0,155681.0,156511.0,65774
2013-05-20,155912.0,156292.0,155580.0,156019.0,67052
2013-05-21,156019.0,156537.0,155127.0,155291.0,68796
2013-05-22,155287.0,156099.0,154554.0,155114.0,87612
2013-05-23,155115.0,155583.0,151793.0,154064.0,121050
2013-05-24,154064.0,154746.0,152289.0,153080.0,107906
2013-05-27,153159.0,153252.0,152353.0,152708.0,65481
2013-05-28,152715.0,154656.0,152639.0,153747.0,106412
2013-05-29,153771.0,154039.0,152233.0,152977.0,114720
2013-05-30,152977.0,154018.0,152256.0,153502.0,118398
2013-05-31,153500.0,154226.0,152372.0,152589.0,113881
2013-06-03,152801.0,153242.0,151938.0,152321.0,104629
2013-06-04,152333.0,153803.0,152322.0,153203.0,101988
2013-06-05,153214.0,153747.0,152392.0,152737.0,112887
2013-06-06,152570.0,153566.0,150297.0,151234.0,111103
2013-06-07,151235.0,152006.0,148161.0,151698.0,133982
2013-06-10,151895.0,154183.0,151740.0,153750.0,102644
2013-06-11,153748.0,154188.0,149344.0,150189.0,125301
2013-06-12,150189.0,152009.0,149293.0,150521.0,109807
2013-06-13,150509.0,150565.0,147091.0,149878.0,126200
2013-06-14,150277.0,150392.0,147409.0,147651.0,115345
2013-06-17,147982.0,149445.0,147977.0,148787.0,89840
2013-06-18,148798.0,149584.0,148429.0,149174.0,93594
2013-06-19,149179.0,150306.0,148266.0,149120.0,96970
2013-06-20,149119.0,151923.0,148868.0,150868.0,130175
2013-06-21,150868.0,151922.0,149749.0,150869.0,112177
2013-06-24,150821.0,151737.0,149712.0,150835.0,115379
2013-06-25,150824.0,151455.0,149668.0,151073.0,103207
2013-06-26,151095.0,151384.0,149248.0,149726.0,100788
2013-06-27,149619.0,150571.0,149365.0,150032.0,84852
2013-06-28,150030.0,151138.0,149970.0,150741.0,93313
2013-07-01,150859.0,152064.0,150823.0,151577.0,79137
2013-07-02,151577.0,152728.0,151249.0,152475.0,82174
2013-07-03,152475.0,153016.0,151235.0,152702.0,93530
2013-07-04,152705.0,152867.0,150288.0,150875.0,75059
2013-07-05,150873.0,151113.0,149484.0,150575.0,87701
2013-07-08,150647.0,151131.0,150197.0,150804.0,79353
2013-07-09,150803.0,151603.0,149778.0,150252.0,87219
2013-07-10,150261.0,150364.0,148772.0,149883.0,97020
2013-07-11,149880.0,150624.0,148940.0,150304.0,122788
2013-07-12,150304.0,150664.0,149419.0,149759.0,77794
2013-07-15,150034.0,151260.0,149684.0,150914.0,67752
2013-07-16,150907.0,151110.0,149797.0,150190.0,83249
2013-07-17,150196.0,152053.0,149921.0,151502.0,85642
2013-07-18,151475.0,153132.0,151368.0,153060.0,83472
2013-07-19,153052.0,153659.0,152168.0,153430.0,83034
2013-07-22,153208.0,153592.0,152358.0,152961.0,78919
2013-07-23,152964.0,153666.0,152329.0,152922.0,82133
2013-07-24,152922.0,154043.0,152807.0,153547.0,81958
2013-07-25,153547.0,153822.0,152253.0,152681.0,92400
2013-07-26,152708.0,152829.0,150723.0,151133.0,85965
2013-07-29,151177.0,151192.0,149997.0,150211.0,81317
2013-07-30,150214.0,150917.0,149187.0,149373.0,78839
2013-07-31,149373.0,149513.0,148285.0,148609.0,93188
2013-08-01,148619.0,150681.0,148246.0,150423.0,85908
2013-08-02,150418.0,151539.0,150204.0,151249.0,83117
2013-08-05,151270.0,151490.0,150323.0,150862.0,74537
2013-08-06,150873.0,151433.0,149887.0,150062.0,79189
2013-08-07,150062.0,150693.0,147600.0,149266.0,97190
2013-08-08,149266.0,150308.0,148928.0,150080.0,86222
2013-08-09,150073.0,150655.0,149048.0,149048.0,72208
2013-08-12,149286.0,150168.0,148852.0,150115.0,69470
2013-08-13,150113.0,152084.0,150047.0,151739.0,82334
2013-08-14,151739.0,152580.0,151193.0,151944.0,76083
2013-08-15,151948.0,153236.0,151487.0,152128.0,97199
2013-08-16,152131.0,152748.0,151778.0,152378.0,74667
2013-08-19,152583.0,153568.0,152204.0,152748.0,72804
2013-08-20,152748.0,153110.0,151732.0,152405.0,81352
2013-08-21,152403.0,153638.0,152115.0,152957.0,84361
2013-08-22,152967.0,154013.0,152648.0,153918.0,80350
2013-08-23,153903.0,154665.0,153413.0,153653.0,72333
2013-08-26,153601.0,153971.0,153234.0,153333.0,52931
2013-08-27,153346.0,153483.0,150698.0,150815.0,83523
2013-08-28,150826.0,151889.0,150468.0,151688.0,81418
2013-08-29,151678.0,152659.0,151500.0,152418.0,76438
2013-08-30,152418.0,152659.0,151677.0,152008.0,70362
2013-09-02,152573.0,154923.0,152410.0,154478.0,61947
2013-09-03,154478.0,155438.0,154428.0,154889.0,70719
2013-09-04,154908.0,155995.0,154756.0,155843.0,65290
2013-09-05,155848.0,156421.0,155492.0,156146.0,67112
2013-09-06,156146.0,156211.0,154137.0,154868.0,58392
2013-09-09,155934.0,156633.0,155502.0,156324.0,61972
2013-09-10,156319.0,158054.0,156173.0,157913.0,64172
2013-09-11,157917.0,158539.0,157510.0,158178.0,66935
2013-09-12,158168.0,158203.0,156695.0,157255.0,67971
2013-09-13,157255.0,157967.0,157195.0,157713.0,59948
2013-09-16,157458.0,157928.0,157318.0,157518.0,56873
2013-09-17,157518.0,158153.0,157407.0,157663.0,56094
2013-09-18,157673.0,158376.0,157338.0,158358.0,65077
2013-09-19,158361.0,159975.0,158178.0,159334.0,74977
2013-09-20,159339.0,159684.0,158917.0,158917.0,58279
2013-09-23,158812.0,159041.0,158197.0,158482.0,52602
2013-09-24,158490.0,158957.0,157343.0,157963.0,60366
2013-09-25,157984.0,158817.0,157369.0,158257.0,59635
2013-09-26,158260.0,159263.0,158017.0,158734.0,64729
2013-09-27,158723.0,159087.0,158254.0,158477.0,60606
2013-09-30,157848.0,159419.0,157392.0,158988.0,71244
2013-10-01,158981.0,159943.0,158444.0,158707.0,73163
2013-10-02,158702.0,158805.0,157497.0,158048.0,68529
2013-10-03,158046.0,158838.0,156704.0,157095.0,68614
2013-10-04,157100.0,157366.0,155719.0,156012.0,64861
2013-10-07,155906.0,156174.0,155397.0,155567.0,64701
2013-10-08,155577.0,156651.0,155434.0,155807.0,65697
2013-10-09,155811.0,156554.0,154720.0,155318.0,68633
2013-10-10,155327.0,157022.0,155294.0,156956.0,64950
2013-10-11,156958.0,157517.0,156432.0,157144.0,59586
2013-10-14,156836.0,157706.0,156807.0,157632.0,41273
2013-10-15,157632.0,157704.0,156764.0,157078.0,63613
2013-10-16,157105.0,158026.0,156930.0,157610.0,68434
2013-10-17,157631.0,158295.0,157066.0,158207.0,70519
2013-10-18,158198.0,158672.0,157966.0,157971.0,56185
2013-10-21,158384.0,158760.0,158190.0,158477.0,50117
2013-10-22,158496.0,159526.0,158289.0,159215.0,54613
2013-10-23,159215.0,159362.0,156862.0,157317.0,68954
2013-10-24,157321.0,158197.0,157048.0,157659.0,66743
2013-10-25,157676.0,157954.0,157130.0,157432.0,65282
2013-10-28,157718.0,158299.0,157572.0,157622.0,53825
2013-10-29,157619.0,157667.0,156753.0,157556.0,65982
2013-10-30,157556.0,158174.0,157340.0,157877.0,62263
2013-10-31,157883.0,157954.0,157280.0,157779.0,68213
2013-11-01,157779.0,157795.0,156822.0,157081.0,63129
2013-11-04,157181.0,157676.0,157096.0,157472.0,41978
2013-11-05,157474.0,158247.0,156635.0,158102.0,61551
2013-11-06,158102.0,158987.0,157922.0,158608.0,53044
2013-11-07,158609.0,159269.0,157302.0,158022.0,70562
2013-11-08,158018.0,158852.0,157541.0,158600.0,65825
