Date,open,high,low,close,tick_volume
2012-12-04,160944.0,161303.0,160859.0,160999.0,53379
2012-12-05,160998.0,161176.0,160823.0,160914.0,49718
2012-12-06,160915.0,161272.0,160354.0,160415.0,56703
2012-12-07,160415.0,160604.0,160016.0,160374.00000000003,55445
2012-12-10,160335.0,160960.0,160130.0,160747.0,46446
2012-12-11,160743.0,161207.0,160685.0,161145.0,49632
2012-12-12,161146.0,161708.0,160943.0,161371.0,52561
2012-12-13,161370.0,161527.0,160845.0,161102.0,51590
2012-12-14,161101.0,161768.0,161030.0,161717.99999999997,51933
2012-12-17,161796.0,162159.0,161568.0,161981.0,49365
2012-12-18,161979.0,162686.0,161948.0,162450.0,48318
2012-12-19,162454.0,163061.0,162379.0,162493.0,55493
2012-12-20,162496.0,162954.0,162412.0,162750.0,53755
2012-12-21,162755.0,162758.0,161512.0,161686.0,57777
2012-12-24,161568.99999999997,162055.00000000003,161006.0,161320.0,37739
2012-12-26,161262.00000000003,161701.0,161070.0,161328.0,36363
2012-12-27,161335.0,162018.0,160662.0,161005.0,54446
2012-12-28,161006.0,161699.0,160781.0,161455.0,44096
2012-12-31,161644.0,162737.0,161331.0,162409.0,37577
2013-01-01,162426.0,162569.0,162245.0,162513.0,1213
2013-01-02,162517.0,163805.99999999997,162248.0,162519.0,72806
2013-01-03,162517.99999999997,162529.0,160572.0,160825.0,48285
2013-01-04,160822.0,160985.0,160099.0,160678.0,49710
2013-01-07,160770.0,161275.0,160205.0,161266.0,47491
2013-01-08,161265.0,161266.0,160285.0,160580.0,46960
2013-01-09,160577.0,160745.0,159925.0,160164.0,48890
2013-01-10,160163.0,161761.0,160038.0,161625.0,57297
2013-01-11,161629.0,161699.0,160888.0,161271.0,50853
2013-01-14,161277.0,161542.0,160316.0,160725.0,50512
2013-01-15,160722.0,161001.0,160323.0,160597.0,60638
2013-01-16,160598.0,160800.0,159752.0,159975.0,58007
2013-01-17,159977.0,160388.0,159548.99999999997,159965.0,62096
2013-01-18,159964.0,159975.99999999997,158540.0,158660.0,60040
2013-01-21,158528.0,158931.99999999997,158057.0,158348.99999999997,46861
2013-01-22,158350.0,158830.0,158092.0,158374.00000000003,59866
2013-01-23,158374.00000000003,158916.0,158015.00000000003,158299.0,54863
2013-01-24,158298.0,158506.0,157557.0,157894.0,55151
2013-01-25,157897.0,158265.0,157453.0,157955.0,55334
2013-01-28,157777.0,157852.0,156742.0,156901.0,51300
2013-01-29,156898.0,157732.0,156896.0,157568.0,51625
2013-01-30,157568.0,158151.0,157257.0,157945.0,55078
2013-01-31,157946.0,158748.0,157745.0,158587.0,54861
2013-02-01,158588.0,158782.0,156897.0,156913.0,61632
2013-02-04,157036.0,157713.0,156929.0,157498.0,52970
2013-02-05,157498.0,158039.0,156304.0,156602.0,58701
2013-02-06,156601.0,156776.0,156303.0,156626.0,53654
2013-02-07,156625.0,157674.0,156447.0,157132.0,61930
2013-02-08,157131.0,158430.0,157046.0,157969.0,55947
2013-02-11,157896.0,158094.0,156453.0,156481.0,51118
2013-02-12,156480.0,156826.0,155734.0,156777.0,56112
2013-02-13,156775.0,156884.0,155236.0,155372.0,54307
2013-02-14,155373.0,155423.0,154746.0,154943.0,53243
2013-02-15,154944.00000000003,155494.0,154622.0,155162.0,36231
2013-02-18,154990.0,155076.0,154377.0,154687.0,30857
2013-02-19,154687.0,155035.0,154141.0,154213.99999999997,29314
