Date,open,high,low,close,tick_volume
2012-12-03,92737.0,92779.0,92405.0,92525.0,86089
2012-12-04,92523.0,92929.0,92446.0,92663.0,87664
2012-12-05,92664.0,92994.0,92500.0,92619.0,58495
2012-12-06,92619.0,93394.0,92553.0,93305.0,86884
2012-12-07,93305.0,93815.0,93190.0,93428.0,80612
2012-12-10,93643.0,93693.0,93259.0,93345.0,77400
2012-12-11,93345.0,93687.0,93162.0,93169.0,82001
2012-12-12,93170.0,93256.0,92431.0,92645.0,81279
2012-12-13,92645.0,92749.0,92251.0,92365.0,84226
2012-12-14,92363.0,92469.0,91652.0,91736.0,82486
2012-12-17,91660.0,91939.0,91648.0,91775.0,77786
2012-12-18,91777.0,91859.0,91233.0,91335.0,78218
2012-12-19,91335.0,91529.0,90872.0,91480.0,90114
2012-12-20,91479.0,91479.0,90833.0,91132.0,85306
2012-12-21,91133.0,91784.0,91130.0,91550.0,89328
2012-12-24,91628.0,91703.0,91244.0,91539.0,52664
2012-12-26,91537.0,91575.0,91112.0,91311.0,51518
2012-12-27,91309.0,91566.0,90944.0,91326.0,84732
2012-12-28,91327.0,91807.0,91161.0,91332.0,81261
2012-12-31,91348.0,91657.0,91202.0,91460.0,63853
2013-01-01,91481.0,91532.0,91285.0,91450.0,1448
2013-01-02,91445.0,91983.0,90773.0,91735.0,102137
2013-01-03,91735.0,92793.0,91735.0,92721.0,93634
2013-01-04,92719.0,93021.0,92306.0,92439.0,94519
2013-01-07,92418.0,92862.0,92031.0,92043.0,92507
2013-01-08,92044.0,92567.0,92010.0,92400.0,93897
2013-01-09,92399.0,92730.0,92312.0,92573.0,91555
2013-01-10,92573.0,92684.0,91277.0,91380.0,100280
2013-01-11,91383.0,91782.0,91101.0,91326.0,98954
2013-01-14,91399.0,92277.0,91187.0,92209.0,103408
2013-01-15,92214.0,93320.0,92104.0,93234.0,115655
2013-01-16,93234.0,93286.0,92853.0,93081.0,105900
2013-01-17,93084.0,93595.0,92974.0,93250.0,110883
2013-01-18,93250.0,93878.0,93041.0,93371.0,107699
2013-01-21,93473.0,93489.0,93072.0,93206.0,87011
2013-01-22,93204.0,93457.0,92742.0,92879.0,107982
2013-01-23,92880.0,93148.0,92765.0,92997.0,97392
2013-01-24,92998.0,93237.0,92789.0,92851.0,98107
2013-01-25,92855.0,93062.0,92218.0,92626.0,102705
2013-01-28,92712.0,92922.0,92567.0,92645.0,98270
2013-01-29,92646.0,92672.0,91930.0,92172.0,96713
2013-01-30,92171.0,92265.0,90930.0,91121.0,100490
2013-01-31,91120.0,91199.0,90752.0,90998.0,98830
2013-02-01,91003.0,91080.0,90214.0,90746.0,106566
2013-02-04,90825.0,91170.0,90715.0,90890.0,99001
2013-02-05,90889.0,91159.0,90714.0,90791.0,104748
2013-02-06,90792.0,91489.0,90558.0,90990.0,103806
2013-02-07,90987.0,92007.0,90647.0,91852.0,104741
2013-02-08,91853.0,91895.0,91546.0,91677.0,88882
2013-02-11,91739.0,92124.0,91560.0,92047.0,89609
2013-02-12,92049.0,92141.0,91495.0,91691.0,95213
2013-02-13,91691.0,91962.0,91520.0,91712.0,91259
2013-02-14,91714.0,92452.0,91675.0,92146.0,100347
2013-02-15,92145.0,92409.0,92040.0,92158.0,92308
2013-02-18,92248.0,92574.0,92096.0,92308.0,83626
2013-02-19,92309.0,92489.0,92145.0,92279.0,85410
2013-02-20,92279.0,92850.0,91834.0,92683.0,97967
2013-02-21,92692.0,93324.0,92687.0,93047.0,102840
2013-02-22,93044.0,93279.0,92826.0,92937.0,93690
2013-02-25,93097.0,93381.0,92316.0,93230.0,118406
2013-02-26,93228.0,93348.0,92859.0,93194.0,122489
2013-02-27,93196.0,93312.0,92847.0,92958.0,113934
2013-02-28,92957.0,93730.0,92797.0,93637.0,105430
2013-03-01,93636.0,94623.0,93509.0,94225.0,104848
2013-03-04,94229.0,94399.0,94059.0,94061.0,11677
2013-03-05,94074.0,94332.0,93930.0,94110.0,13485
2013-03-06,94122.0,94889.0,94019.0,94837.0,23936
2013-03-07,94837.0,94883.0,94096.0,94246.0,46479
2013-03-08,94247.0,95511.0,94171.0,95095.0,34812
2013-03-11,95239.0,95291.0,94657.0,94743.0,33184
2013-03-12,94743.0,95042.0,94359.0,94729.0,39250
2013-03-13,94727.0,95323.0,94293.0,95252.0,37214
2013-03-14,95253.0,95664.0,94508.0,94644.0,41640
2013-03-15,94646.0,94757.0,93789.0,93851.0,40015
2013-03-18,94434.0,94856.0,94162.0,94684.0,48917
2013-03-19,94684.0,94908.0,94253.0,94800.0,47626
2013-03-20,94799.0,94807.0,94108.0,94511.0,44013
2013-03-21,94510.0,94818.0,94381.0,94654.0,47029
2013-03-22,94653.0,94741.0,93961.0,94091.0,42499
2013-03-25,94103.0,94965.0,93509.0,94816.0,50809
2013-03-26,94814.0,95042.0,94718.0,94790.0,39052
2013-03-27,94790.0,95533.0,94765.0,95368.0,38148
2013-03-28,95370.0,95480.0,94660.0,94945.0,36252
2013-03-29,94944.0,95114.0,94801.0,94885.0,24154
2013-04-01,94962.0,95265.0,94556.0,94676.0,23141
2013-04-02,94678.0,94969.0,94441.0,94867.0,34207
2013-04-03,94867.0,95201.0,94416.0,94536.0,32441
2013-04-04,94533.0,95257.0,93820.0,93972.0,41458
2013-04-05,93976.0,94332.0,93126.0,93406.0,38666
2013-04-08,93386.0,93610.0,93279.0,93463.0,33758
2013-04-09,93464.0,93663.0,93074.0,93258.0,36629
2013-04-10,93258.0,93360.0,92945.0,93261.0,32249
2013-04-11,93261.0,93394.0,92783.0,93083.0,33128
2013-04-12,93082.0,93318.0,92636.0,92704.0,34543
2013-04-15,92748.0,93264.0,92680.0,93071.0,44486
2013-04-16,93071.0,93263.0,92074.0,92216.0,45773
2013-04-17,92216.0,93382.0,92057.0,93265.0,47221
2013-04-18,93265.0,93342.0,92889.0,93267.0,44500
2013-04-19,93266.0,93422.0,92759.0,93356.0,40144
2013-04-22,93237.0,93708.0,93143.0,93433.0,32764
2013-04-23,93432.0,94564.0,93272.0,94523.0,38450
2013-04-24,94523.0,94986.0,94434.0,94722.0,35970
2013-04-25,94725.0,94839.0,94222.0,94479.0,35647
2013-04-26,94477.0,94559.0,94020.0,94230.0,37655
2013-04-29,94106.0,94292.0,93538.0,93707.0,33419
2013-04-30,93710.0,93837.0,92784.0,92940.0,37122
2013-05-01,92945.0,93089.0,92468.0,92699.0,31999
2013-05-02,92699.0,93623.0,92645.0,93508.0,40114
2013-05-03,93508.0,93984.0,93026.0,93496.0,37719
2013-05-06,93519.0,93967.0,93382.0,93837.0,26519
