Date,open,high,low,close,tick_volume
2012-12-04,82173.0,82206.0,81711.0,81888.0,72067
2012-12-05,81890.0,82473.0,81789.0,82415.0,53785
2012-12-06,82416.0,82610.0,82193.0,82405.0,69700
2012-12-07,82406.0,82818.0,82182.0,82478.0,67896
2012-12-10,82548.0,82630.0,82111.0,82341.0,61980
2012-12-11,82342.0,82567.0,82296.0,82533.0,60324
2012-12-12,82534.0,83289.0,82494.0,83180.0,75034
2012-12-13,83179.0,83667.0,83154.0,83614.0,78994
2012-12-14,83615.0,83957.0,83310.0,83500.0,83440
2012-12-17,84145.0,84205.0,83605.0,83872.0,81378
2012-12-18,83872.0,84281.0,83814.0,84266.0,77059
2012-12-19,84266.0,84610.0,83933.0,84091.0,86616
2012-12-20,84092.0,84450.0,83853.0,84341.0,83167
2012-12-21,84338.0,84436.0,83851.0,84234.0,86836
2012-12-24,84377.0,84865.0,84318.0,84772.0,50247
2012-12-26,85275.0,85715.0,85247.0,85485.0,50697
2012-12-27,85488.0,86317.0,85477.0,86281.0,91124
2012-12-28,86269.0,86625.0,85865.0,85865.0,83940
2012-12-31,85819.0,86680.0,85814.0,86610.0,60982
2013-01-01,86658.0,86842.0,86627.0,86765.0,1714
2013-01-02,86765.0,87342.0,86535.0,87324.0,96570
2013-01-03,87324.0,87546.0,86763.0,87431.0,86480
2013-01-04,87431.0,88397.0,87399.0,88140.0,100981
2013-01-07,88322.0,88322.0,87351.0,87456.0,95521
2013-01-08,87457.0,87788.0,86823.0,86841.0,97533
2013-01-09,86843.0,88065.0,86824.0,88034.0,98771
2013-01-10,88030.0,89030.0,87964.0,88923.0,102408
2013-01-11,88925.0,89435.0,88734.0,89176.0,105752
2013-01-14,89487.0,89638.0,89078.0,89476.0,95689
2013-01-15,89474.0,89623.0,88292.0,88819.0,113268
2013-01-16,88818.0,88849.0,87790.0,88568.0,111439
2013-01-17,88567.0,90105.0,88129.0,89953.0,120314
2013-01-18,89952.0,90182.0,89632.0,90083.0,105490
2013-01-21,90148.0,90228.0,89336.0,89813.0,91509
2013-01-22,89814.0,90118.0,88364.0,88752.0,117091
2013-01-23,88751.0,88789.0,88056.0,88538.0,106533
2013-01-24,88535.0,90531.0,88416.0,90420.0,111112
2013-01-25,90422.0,91192.0,90285.0,90877.0,106284
2013-01-28,91059.0,91248.0,90559.0,90652.0,98543
2013-01-29,90648.0,91008.0,90324.0,90753.0,104027
2013-01-30,90755.0,91401.0,90712.0,91066.0,102076
2013-01-31,91065.0,91797.0,90742.0,91733.0,102365
2013-02-01,91732.0,92952.0,91613.0,92789.0,109464
2013-02-04,92830.0,93178.0,91976.0,92095.0,111694
2013-02-05,92092.0,93777.0,92071.0,93709.0,120867
2013-02-06,93710.0,94045.0,93277.0,93517.0,117089
2013-02-07,93518.0,93912.0,93082.0,93714.0,112292
2013-02-08,93713.0,93725.0,92167.0,92672.0,108175
2013-02-11,92564.0,94431.0,92448.0,94238.0,98843
2013-02-12,94239.0,94403.0,92964.0,93221.0,113427
2013-02-13,93222.0,93772.0,92819.0,93221.0,107206
2013-02-14,93222.0,93707.0,92676.0,92882.0,111427
2013-02-15,92881.0,93834.0,92220.0,93505.0,114650
2013-02-18,93878.0,94208.0,93708.0,93904.0,87446
2013-02-19,93906.0,93943.0,93292.0,93568.0,90396
2013-02-20,93564.0,94029.0,93136.0,93699.0,101970
2013-02-21,93698.0,93856.0,92771.0,92976.0,106891
2013-02-22,92975.0,93506.0,92922.0,93405.0,97914
